,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35863,27721305,Spacious yet cozy DOUBLE BEDROOM by Old St,59649659,Jamie,,Hackney,51.52821,-0.09078,Private room,100,2,0,,,1,164,0,
21906,18801875,Super 2BD Flat Centre Stoke Newington - Hackney,28820321,Veronica,,Hackney,51.5584,-0.08482,Entire home/apt,100,2,6,7/25/2017,0.12,248,0,0,
21834,18762611,Entire flat in the heart of Notting Hill,130549426,Helen,,Kensington and Chelsea,51.5095,-0.20401,Entire home/apt,100,2,2,7/9/2017,0.04,1,0,0,
21811,18748818,Modern and spacious flat in fashionable Chelsea,18983564,Alex,,Kensington and Chelsea,51.4862,-0.18876,Entire home/apt,100,5,10,6/17/2018,0.19,1,0,0,
21615,18647392,SPACIOUS TOP FLOOR FLAT E8,129547997,Harriet,,Hackney,51.54668,-0.06716,Entire home/apt,100,3,22,8/16/2021,0.59,4,152,1,
21247,18372117,Beautiful Airy Victorian Family Home,2604832,Georgina,,Hackney,51.55663,-0.04977,Entire home/apt,100,2,3,7/31/2017,0.06,1,0,0,
19692,17330424,Kensington Palace vicinity Private Apartment.j,59985409,Peter,,Kensington and Chelsea,51.50719,-0.19236,Entire home/apt,100,5,31,10/15/2019,0.65,1,0,0,
19452,17121673,"Chelsea Apartment, Private Entrance & Gardens",20154659,Camilla,,Kensington and Chelsea,51.48793,-0.17631,Entire home/apt,100,3,7,8/29/2020,0.15,1,0,0,
19388,17048462,Bright peaceful room with lake and skyline view!,930490,Sion,,Hackney,51.57087,-0.09044,Private room,100,2,124,11/11/2018,2.34,4,0,1,
19054,16807185,Architect-designed apartment in hip London Fields,5082463,Misha,,Hackney,51.54496,-0.06454,Entire home/apt,100,2,17,4/9/2018,0.31,1,0,0,
18879,16674916,South Kensington Luxury ensuite room,110329239,Angelique,,Kensington and Chelsea,51.49224,-0.181,Private room,100,2,17,7/9/2017,0.32,1,0,0,
18621,16453613,Stunning Georgian apartment in heart of Hackney,2214413,Sophie,,Hackney,51.55655,-0.05373,Private room,100,2,1,1/1/2017,0.02,1,88,0,
18595,16435649,"Double Room in Clapton, 1 Min walk from station",107768293,Moses,,Hackney,51.56192,-0.05759,Private room,100,3,0,,,1,0,0,
18457,16343625,Cozy apartment in London Fields,21809153,Francesca,,Hackney,51.53901,-0.05697,Entire home/apt,100,3,2,1/2/2017,0.04,1,0,0,
18257,16227113,2 bedrooms backstreet semi-detached house,9247685,Agnese,,Hackney,51.55557,-0.05689,Entire home/apt,100,7,1,11/4/2017,0.02,1,0,0,
18131,16156667,Modern one bedroom flat,6008545,Mel,,Hackney,51.53551,-0.07773,Entire home/apt,100,2,90,12/9/2019,1.85,1,276,1,
18058,16109187,Contemporary luxurious modern home,105026784,Shahbaz,,Kensington and Chelsea,51.49439,-0.18799,Entire home/apt,100,3,52,2/9/2020,0.97,2,0,0,
17985,16067974,"Light, spacious, 3 bed loft in heart of Dalston",104674625,Clara,,Hackney,51.55171,-0.07304,Shared room,100,1,1,7/9/2017,0.02,1,0,0,
15328,13921771,Victorian 4 bedroom house in Stoke Newington,12211264,Nicolas,,Hackney,51.55848,-0.08123,Entire home/apt,100,6,0,,,1,0,0,
15407,13954304,Super stylish 2 bedroom London Fields garden flat,5302488,Patrick,,Hackney,51.54473,-0.06465,Entire home/apt,100,3,2,8/21/2017,0.03,1,0,0,
15759,14161821,"Notting Hill Flat - Modern, Spacious and Bright",85651232,Thomas,,Kensington and Chelsea,51.51283,-0.20218,Entire home/apt,100,2,21,12/27/2016,0.34,1,0,0,
16287,14572683,Gorgeous Notting Hill Flat with Lovely Garden,90294082,Sepand,,Kensington and Chelsea,51.51994,-0.21209,Entire home/apt,100,3,30,3/24/2019,0.49,1,0,0,
16332,14606238,Smart 2 bed flat in Upper Clapton overlooking park,17677075,Jon,,Hackney,51.56754,-0.0608,Entire home/apt,100,1,45,10/12/2019,0.88,2,0,0,
16364,14640367,Beautiful rooms in Heart of Shoreditch - discount,7233755,Younha & DaeWha,,Hackney,51.53128,-0.07003,Entire home/apt,100,5,4,8/13/2017,0.08,1,0,0,
21928,18817262,Quite One bedroom apartment,41490017,Kate,,Hackney,51.54084,-0.07847,Entire home/apt,100,1,2,7/9/2017,0.04,1,0,0,
16541,14820002,"Beautiful big light 2 bed artist's flat, Hackney",22748642,Ellen,,Hackney,51.55525,-0.05505,Entire home/apt,100,5,0,,,1,0,0,
17124,15343451,A lovely and bright one bedroom in Chelsea,47887241,Charaf,,Kensington and Chelsea,51.48721,-0.17982,Entire home/apt,100,30,46,3/2/2020,0.78,1,99,0,
17277,15477522,Quirky & Colourful 2 bed Flat in Notting Hill,73460269,Andy,,Kensington and Chelsea,51.52044,-0.21067,Entire home/apt,100,2,14,7/22/2018,0.31,1,0,0,
17367,15555578,East London Flat | London Fields & Broadway Market,7674888,Bianca,,Hackney,51.54794,-0.06338,Entire home/apt,100,2,8,10/15/2017,0.14,1,0,0,
17582,15755486,Beautiful and light modern Chelsea apartment,7245605,Gabriel,,Kensington and Chelsea,51.48601,-0.18097,Entire home/apt,100,7,4,8/12/2017,0.11,1,0,0,
17895,15999110,Wonderful & Spacious One Bedroom Apartment,54301513,Scott,,Kensington and Chelsea,51.49434,-0.20181,Entire home/apt,100,1,22,5/15/2017,0.39,4,0,0,
17972,16060666,Beautiful 3 bedroom flat in East London,12825424,Filippo,,Hackney,51.54133,-0.07943,Entire home/apt,100,3,1,1/3/2018,0.02,5,0,0,
16634,14922874,Attractive Notting Hill Studio,82436841,Max And Billie,,Kensington and Chelsea,51.51014,-0.19486,Entire home/apt,100,1,316,3/11/2020,5.29,21,253,34,
22130,18938122,"Newly built, well connected, two bedroom flat",14432655,Thomas,,Hackney,51.56625,-0.09455,Entire home/apt,100,3,3,6/10/2017,0.06,1,0,0,
22546,19184968,Beautiful 1 bedroom flat in Stokey,7889991,Andrew,,Hackney,51.56195,-0.07559,Entire home/apt,100,7,15,8/19/2017,0.29,1,1,0,
